_id,nume_produs,valabilitate_produs,pret_produs,link_produs,imagine_produs,_id_principal_category,_id_second_category
evo_i5423,"Bomfaier Stanley Junior 0-15-218, 150 mm",In stoc (exclusiv online),"[[null,""21,82 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-bomfaier-stanley-junior-0-15-218-150-mm-3584138.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584138%2F1495634393jr.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5424,"Fierastrau pentru taiat placi de gips-carton Stanley 0-15-206, 150mm",In stoc (exclusiv online),"[[null,""24,02 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-fierastrau-pentru-taiat-placi-de-gips-carton-stanley-0-15-206-150mm-1159791.html,https://static3.evomag.ro/img?file=products%2F1159%2F1159791%2F1432107833Fierastrau+pentru+taiat+placi+de+gips-carton+Stanley+0-15-206%2C+150mm.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5425,"Set 4 panze fierastrau traforaj Stanley 0-15-061, 160 mm",In stoc (exclusiv online),"[[null,""14,38 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-set-4-panze-fierastrau-traforaj-stanley-0-15-061-160-mm-3584854.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584854%2F14961525164.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5426,"Set 12 panze fierastrau traforaj Stanley STHT0-20129, 110 mm",In stoc (exclusiv online),"[[null,""42,91 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-set-12-panze-fierastrau-traforaj-stanley-stht0-20129-110-mm-3585070.html,https://static3.evomag.ro/img?file=products%2F3585%2F3585070%2F1496234998pila.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5427,"Fierastrau arcuit cu panza Stanley, pentru lemn verde, 530mm",In stoc (exclusiv online),"[[null,""29,07 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-fierastrau-arcuit-cu-panza-stanley-pentru-lemn-verde-530mm-2450293.html,https://static3.evomag.ro/img?file=products%2F2450%2F2450293%2F1469102053mazp6.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5428,"Panza fierastrau Stanley 1-15-388, 760 mm",In stoc (exclusiv online),"[[null,""53,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-panza-fierastrau-stanley-1-15-388-760-mm-3588608.html,https://static3.evomag.ro/img?file=products%2F3588%2F3588608%2F1498480045tgho8.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5429,Cutter Stanley latime lama 25mm,In stoc (exclusiv online),"[[null,""34,82 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-stanley-latime-lama-25mm-115659.html,https://static3.evomag.ro/img?file=products%2F115%2F115659%2FCutter+Stanley+latime+lama+25mm.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5430,"Bomfaier pentru metal Stanley 1-15-122, 300 mm",In stoc (exclusiv online),"[[null,""30,23 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-bomfaier-pentru-metal-stanley-1-15-122-300-mm-3584139.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584139%2F1495634719bf.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5431,"Panza fierastrau pendular Ford Tools FPTA-10-0006, lemn/metal, set 2 buc.",In stoc (exclusiv online),"[[null,""33,05 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/ford-tools-panza-fierastrau-pendular-ford-tools-fpta-10-0006-lemn-metal-set-2-buc.-3635500.html,https://static3.evomag.ro/img?file=products%2F3635%2F3635500%2F1532598436nsm1.JPG&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5432,"Fierastrau HardPoint Stanley 1-15-441, BCA, 650mm",In stoc (exclusiv online),"[[null,""136,99 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-fierastrau-hardpoint-stanley-1-15-441-bca-650mm-3584842.html,https://static3.evomag.ro/img?file=products%2F3584%2F3584842%2F1496147184bst.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5433,"Set 5 cutite drepte rindea Stanley 0-12-378, 50 mm",In stoc (exclusiv online),"[[null,""28,88 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-set-5-cutite-drepte-rindea-stanley-0-12-378-50-mm-3585071.html,https://static3.evomag.ro/img?file=products%2F3585%2F3585071%2F1496237522rindea.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5434,"Panza fierastrau pendular Bosch T234X,  tija cu un prag de prindere (T), 117 mm, lemn, taiere dreapta, fina, 5 bucati",In stoc (exclusiv online),"[[null,""38,00 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/bosch-panza-fierastrau-pendular-bosch-t234x-tija-cu-un-prag-de-prindere-t-117-mm-lemn-taiere-dreapta-fina-5-bucati-3672345.html,https://static3.evomag.ro/img?file=products%2F3672%2F3672345%2F1547188320dfr1.JPG&amp;height=150&amp;extend=white,evo_p16,evo_s144
evo_i5435,Cutter cu lama retractabila Stanley 499,In stoc (exclusiv online),"[[null,""31,12 Lei"",{""$date"":""2020-06-08T18:12:58Z""}]]",www.evomag.ro/casa-decoratiuni-bricolaj-unelte-si-scule-unelte-de-taiat/stanley-cutter-cu-lama-retractabila-stanley-499-115660.html,https://static3.evomag.ro/img?file=products%2F115%2F115660%2FCutit+cu+lama+retractabila+Stanley+499.jpg&amp;height=150&amp;extend=white,evo_p16,evo_s144
